CDSCode,NCESDist,NCESSchool,StatusType,County,District,School,Street,StreetAbr,City,Zip,State,MailStreet,MailStrAbr,MailCity,MailZip,MailState,Phone,Ext,Website,OpenDate,ClosedDate,Charter,CharterNum,FundingType,DOC,DOCType,SOC,SOCType,EdOpsCode,EdOpsName,EILCode,EILName,GSoffered,GSserved,Virtual,Magnet,Latitude,Longitude,AdmFName1,AdmLName1,AdmEmail1,AdmFName2,AdmLName2,AdmEmail2,AdmFName3,AdmLName3,AdmEmail3,LastUpdate
10755981030535,0600067,00731,Active,Fresno,Caruthers Unified,Caruthers High,2580 West Tahoe Avenue,2580 West Tahoe Ave.,Caruthers,93609-0545,CA,PO Box 545,PO Box 545,Caruthers,93609-0545,CA,(559) 864-6500,,www.caruthers.k12.ca.us,1980-07-01,,0,,,54,Unified School District,66,High Schools (Public),TRAD,Traditional,HS,High School,9-12,9-12,N,0,36.538216,-119.83844,Mark,Fowler,mfowler@caruthers.k12.ca.us,,,,,,,2015-06-18
10755981030543,0600067,00732,Active,Fresno,Caruthers Unified,MARC High,2580 West Tahoe Avenue,2580 West Tahoe Ave.,Caruthers,93609-0545,CA,PO Box 545,PO Box 545,Caruthers,93609-0545,CA,(559) 495-6443,,www.caruthers.k12.ca.us/cusd/marc/marc.htm,1993-07-01,,0,,,54,Unified School District,68,Continuation High Schools,CON,Continuation School,HS,High School,9-12,10-12,N,0,36.538328,-119.83836,Tod,Tompkins,ttompkins@caruthers.k12.ca.us,,,,,,,2015-10-26
10755986005813,0600067,00730,Active,Fresno,Caruthers Unified,Caruthers Elementary,13699 South Quince Quince Avenue and Tiller Avenue,13699 South Quince Quince Ave. and Tiller Ave.,Caruthers,93609,CA,PO Box 7 Quince Avenue and Tiller Avenue,PO Box 7 Quince Ave. and Tiller Ave.,Caruthers,93609-0007,CA,(559) 864-6500,,www.caruthers.k12.ca.us,1980-07-01,,0,,,54,Unified School District,60,Elementary Schools (Public),TRAD,Traditional,ELEM,Elementary,K-8,K-8,N,0,36.537664,-119.83236,Marla,Dominguez,mdominguez@caruthers.k12.ca.us,,,,,,,2015-06-18
10767780122473,0601415,12820,Active,Fresno,Washington Unified,Elm High,5865 South Clara Avenue,5865 South Clara Ave.,Fresno,93706-5805,CA,5865 South Clara Avenue,5865 South Clara Ave.,Fresno,93706-5805,CA,(559) 485-8805,599,www.wusd.ws,2010-08-10,,0,,,54,Unified School District,63,Alternative Schools of Choice,ALTSOC,Alternative School of Choice,HS,High School,9-12,9-12,N,0,36.650368,-119.7954,Glen,Freeman,gfreeman@wusd.ws,,,,,,,2015-06-18
10767781030774,0601415,08472,Active,Fresno,Washington Unified,W. E. B. DuBois Public Charter,2604 Martin Luther King Boulevard,2604 Martin Luther King Blvd.,Fresno,93706,CA,2604 Martin Luther King Boulevard,2604 Martin Luther King Blvd.,Fresno,93706,CA,(559) 486-1166,4103,www.agapecorp.com,2000-01-19,,1,0270,Directly funded,54,Unified School District,65,K-12 Schools (Public),TRAD,Traditional,ELEMHIGH,Elementary-High Combination,K-12,K-12,N,0,36.706625,-119.79989,Linda,Washington,lwashington@agapecorp.com,,,,,,,2015-06-18
10767781038306,0601415,06864,Active,Fresno,Washington Unified,Washington High,6041 South Elm Avenue,6041 South Elm Ave.,Fresno,93706-6018,CA,6041 South Elm Avenue,6041 South Elm Ave.,Fresno,93706-6018,CA,(559) 485-8805,,www.wusd.ws,1980-07-01,,0,,,54,Unified School District,66,High Schools (Public),TRAD,Traditional,HS,High School,9-12,9-12,N,0,36.648148,-119.79091,Derek,Cruz,dcruz@wusd.ws,,,,,,,2015-06-18
10767786005748,0601415,00147,Active,Fresno,Washington Unified,American Union Elementary,2801 West Adams Avenue,2801 West Adams Ave.,Fresno,93706-9601,CA,2801 West Adams Avenue,2801 West Adams Ave.,Fresno,93706-9601,CA,(559) 495-5650,,www.wusd.ws,1980-07-01,,0,,,54,Unified School District,60,Elementary Schools (Public),TRAD,Traditional,ELEM,Elementary,K-8,K-8,N,0,36.634069,-119.84074,Heather,Gomez,hgomez@wusd.ws,,,,,,,2016-08-25
11101160124909,0691008,12983,Active,Glenn,Glenn County Office of Education,Walden Academy,1149 West Wood Street,1149 West Wood St.,Willows,95988-2614,CA,PO Box 1092,PO Box 1092,Willows,95988-1092,CA,(530) 361-6480,,www.waldenacademy.org,2011-09-06,,1,1350,Directly funded,00,County Office of Education (COE),60,Elementary Schools (Public),TRAD,Traditional,ELEM,Elementary,K-8,K-8,N,0,39.524223,-122.20847,Kathy,Zabell,kzabell@waldenacademy.org,Suzanne,Tefs,stefs@waldenacademy.org,,,,2015-09-11
11101160130724,0691008,13810,Active,Glenn,Glenn County Office of Education,Success One!,451 South Villa Avenue,451 South Villa Ave.,Willows,95988-2964,CA,451 South Villa Avenue,451 South Villa Ave.,Willows,95988-2964,CA,(530) 934-6320,,www.success-1.org,2014-05-22,,1,1666,Locally funded,00,County Office of Education (COE),66,High Schools (Public),TRAD,Traditional,HS,High School,9-12,9-12,N,0,39.51537,-122.20881,Jhan,Dunn,jdunn@glenncoe.org,,,,,,,2016-05-10
11101160130807,0691008,13820,Active,Glenn,Glenn County Office of Education,Conservation Corps of Long Beach Gateway Cities Charter,3635 Atlantic Avenue,3635 Atlantic Ave.,Long Beach,90807-3417,CA,3635 Atlantic Avenue,3635 Atlantic Ave.,Long Beach,90807-3417,CA,(562) 216-1790,,http://cclb-corps.org/,2014-07-21,,1,1676,Locally funded,00,County Office of Education (COE),66,High Schools (Public),TRAD,Traditional,HS,High School,9-12,12,N,0,33.823377,-118.18539,Richard,Stroup,rstroup@cclb-corps.org,,,,,,,2015-06-18
11101161130087,0691008,07086,Active,Glenn,Glenn County Office of Education,Glenn County Juvenile Court,311 South Villa Avenue,311 South Villa Ave.,Willows,95988,CA,311 South Villa Avenue,311 South Villa Ave.,Willows,95988,CA,(530) 934-6353,,www.glenncoe.org,1996-05-20,,0,,,00,County Office of Education (COE),14,Juvenile Court Schools,JUV,Juvenile Court School,HS,High School,7-12,9-12,N,0,39.517633,-122.2089,Lisa,Morgan,lmorgan@glenncoe.org,,,,,,,2016-05-10
11101161130103,0691008,08479,Active,Glenn,Glenn County Office of Education,William Finch,607 East Tehama Street,607 East Tehama St.,Orland,95963-1595,CA,PO Box 428,PO Box 428,Orland,95963,CA,(530) 865-1683,2500,www.wmfinch.org,1985-06-01,,1,0634,Locally funded,00,County Office of Education (COE),10,County Community,COMM,County Community School,ELEMHIGH,Elementary-High Combination,K-12,1-12,N,0,39.749587,-122.19749,Lisa,Morgan,lmorgan@glenncoe.org,,,,,,,2015-09-19
11101166077184,0691008,09221,Active,Glenn,Glenn County Office of Education,Glenn County Special Education,311 South Villa Avenue,311 South Villa Ave.,Willows,95988-2739,CA,311 South Villa Avenue,311 South Villa Ave.,Willows,95988-2739,CA,(530) 934-6575,,www.glenncoe.org,1980-07-01,,0,,,00,County Office of Education (COE),09,Special Education Schools (Public),SPEC,Special Education School,ELEMHIGH,Elementary-High Combination,K-12,K-12,N,0,39.517633,-122.2089,Jacqueline,Campos,jcampos@glenncoe.org,,,,,,,2016-08-17
11625546007439,0607410,00682,Active,Glenn,Capay Joint Union Elementary,Capay Joint Union Elementary,7504 Cutting Avenue,7504 Cutting Ave.,Orland,95963-9691,CA,7504 Cutting Avenue,7504 Cutting Ave.,Orland,95963-9691,CA,(530) 865-1222,,http://cjuesd.org,1958-09-01,,0,,,52,Elementary School District,61,Elemen Schools In 1 School Dist. (Public),TRAD,Traditional,ELEM,Elementary,K-8,K-8,N,0,39.796979,-122.0858,Jim,Scribner,jscribner@capayschool.org,,,,,,,2016-08-18
11626386007504,0630870,04790,Active,Glenn,Plaza Elementary,Plaza Elementary,7322 County Road 24,7322 County Road 24,Orland,95963-9777,CA,7322 County Road 24,7322 County Road 24,Orland,95963-9777,CA,(530) 865-1250,,www.plazaschool.org,1980-07-01,,0,,,52,Elementary School District,61,Elemen Schools In 1 School Dist. (Public),TRAD,Traditional,ELEM,Elementary,K-8,K-8,N,0,39.710433,-122.09769,Patrick,Conklin,pconklin@glenncoe.org,,,,,,,2015-08-12
11765621130053,0601339,10219,Active,Glenn,Hamilton Unified,Ella Barkley High,Highway 32 And Los Robles Street 300 Sixth Street,Hwy. 32 And Los Robles St. 300 Sixth St.,Hamilton City,95951-0488,CA,PO Box 488 300 Sixth Street,PO Box 488 300 Sixth St.,Hamilton City,95951-0488,CA,(530) 826-3331,2001,www.husdschools.org,1991-08-27,,0,,,54,Unified School District,68,Continuation High Schools,CON,Continuation School,HS,High School,10-12,11-12,N,0,39.745406,-122.01707,Charles,Tracy,ctracy@husdschools.org,,,,,,,2015-06-18
11765621130111,0601339,08481,Active,Glenn,Hamilton Unified,Hamilton Community Day,535 Sacramento Avenue,535 Sacramento Ave.,Hamilton City,95951-0488,CA,PO Box 488,PO Box 488,Hamilton City,95951-0488,CA,(530) 826-3261,1044,www.husdschools.org,2000-08-24,,0,,,54,Unified School District,69,District Community Day Schools,COMMDAY,Community Day School,ELEM,Elementary,7-12,6,N,0,39.746486,-122.00873,Charles,Tracy,ctracy@husdschools.org,,,,,,,2015-06-18
11765621133701,0601339,02078,Active,Glenn,Hamilton Unified,Hamilton High,620 Canal Street,620 Canal St.,Hamilton City,95951-0488,CA,PO Box 488,PO Box 488,Hamilton City,95951-0488,CA,(530) 826-3261,1009,www.husdschools.org,1980-07-01,,0,,,54,Unified School District,66,High Schools (Public),TRAD,Traditional,HS,High School,9-12,9-12,P,0,39.745455,-122.01903,Cris,Oseguera,coseguera@husdschools.org,,,,,,,2016-08-19
11765626007447,0601339,02076,Active,Glenn,Hamilton Unified,Hamilton Elementary,277 Capay Avenue,277 Capay Ave.,Hamilton City,95951-0277,CA,PO Box 277,PO Box 277,Hamilton City,95951-0277,CA,(530) 826-3474,5005,www.husdschools.org,1980-07-01,,0,,,54,Unified School District,60,Elementary Schools (Public),TRAD,Traditional,ELEM,Elementary,K-8,K-8,N,0,39.740098,-122.01572,Darcy,Pollak,dpollak@husdschools.org,,,,,,,2015-12-17
12101240106153,0691009,10793,Active,Humboldt,Humboldt County Office of Education,Eel River Community,2292 Newburg Road,2292 Newburg Rd.,Fortuna,95540-2814,CA,901 Myrtle Avenue,901 Myrtle Ave.,Eureka,95501,CA,(707) 725-0209,,www.humboldt.k12.ca.us,2004-08-30,,0,,,00,County Office of Education (COE),10,County Community,COMM,County Community School,HS,High School,7-12,8-12,N,0,40.589833,-124.14181,Jennifer,Fairbanks,jfairbanks@hcoe.org,,,,,,,2016-07-21
12101240106161,0691009,10794,Active,Humboldt,Humboldt County Office of Education,Eureka Community,1820 Sixth Street,1820 Sixth St.,Eureka,95501-0732,CA,1820 Sixth Street,1820 Sixth St.,Eureka,95501-0732,CA,(707) 445-7108,,www.humboldt.k12.ca.us,2004-08-30,,0,,,00,County Office of Education (COE),10,County Community,COMM,County Community School,HS,High School,7-12,8-12,N,0,40.802991,-124.15239,Jennifer,Fairbanks,jfairbanks@hcoe.org,,,,,,,2016-07-21
12101240106179,0691009,10795,Active,Humboldt,Humboldt County Office of Education,Southern Humboldt Community,286 Sprowl Creek Road,286 Sprowl Creek Rd.,Garberville,95542-3306,CA,901 Myrtle Avenue,901 Myrtle Ave.,Eureka,95501,CA,(707) 923-2550,,www.humboldt.k12.ca.us,2004-08-30,,0,,,00,County Office of Education (COE),10,County Community,COMM,County Community School,HS,High School,7-12,9-11,N,0,40.097391,-123.79718,Jennifer,Fairbanks,jfairbanks@humboldt.k12.ca.us,,,,,,,2015-06-18
12101240106195,0691009,10797,Active,Humboldt,Humboldt County Office of Education,Humboldt County Office of Education Court,2004 Harrison Avenue,2004 Harrison Ave.,Eureka,95501,CA,901 Myrtle Avenue,901 Myrtle Ave.,Eureka,95501,CA,(707) 268-3380,,www.humboldt.k12.ca.us,2004-08-30,,0,,,00,County Office of Education (COE),14,Juvenile Court Schools,JUV,Juvenile Court School,HS,High School,7-12,9-11,N,0,40.789257,-124.13981,Jennifer,Fairbanks,jfairbanks@hcoe.org,,,,,,,2016-07-21
12101240106203,0691009,10798,Active,Humboldt,Humboldt County Office of Education,Humboldt County Office of Education Juvenile Hall Court,2002 Harrison Avenue,2002 Harrison Ave.,Eureka,95501-3212,CA,2002 Harrison Avenue,2002 Harrison Ave.,Eureka,95501-3212,CA,(707) 445-7094,,www.humboldt.k12.ca.us,2004-08-30,,0,,,00,County Office of Education (COE),14,Juvenile Court Schools,JUV,Juvenile Court School,HS,High School,P-12,9-12,N,0,40.789231,-124.13963,Jennifer,Fairbanks,jfairbanks@hcoe.org,,,,,,,2016-07-21
12101240115097,0691009,11934,Closed,Humboldt,Humboldt County Office of Education,Northcoast Preparatory and Performing Arts Academy,285 Bayside Road,285 Bayside Rd.,Arcata,95521-6463,CA,PO Box 276,PO Box 276,Arcata,95518,CA,,,www.northcoastprep.org,2007-08-27,2016-07-11,1,0930,Directly funded,00,County Office of Education (COE),66,High Schools (Public),TRAD,Traditional,ELEMHIGH,Elementary-High Combination,9-12,6-12,N,0,40.863604,-124.07508,,,,,,,,,,2016-07-11
12101246077192,0691009,09223,Active,Humboldt,Humboldt County Office of Education,Glen Paul,2501 Cypress Avenue,2501 Cypress Ave.,Eureka,95503-6212,CA,2501 Cypress Avenue,2501 Cypress Ave.,Eureka,95503-6212,CA,(707) 445-7068,,www.humboldt.k12.ca.us,1980-07-01,,0,,,00,County Office of Education (COE),09,Special Education Schools (Public),SPEC,Special Education School,ELEMHIGH,Elementary-High Combination,K-12,K-12,N,0,40.765965,-124.14037,Damon,Collier,dcollier@hcoe.org,,,,,,,2016-07-20
12626790109975,0603000,10799,Active,Humboldt,Arcata Elementary,Fuente Nueva Charter,1730 Janes Road,1730 Janes Rd.,Arcata,95521-9623,CA,1730 Janes Road,1730 Janes Rd.,Arcata,95521-9623,CA,(707) 822-3348,,www.humboldt.k12.ca.us/fuentenueva/,2005-08-29,,1,0744,Directly funded,52,Elementary School District,60,Elementary Schools (Public),TRAD,Traditional,ELEM,Elementary,K-6,K-5,N,0,40.879407,-124.09986,Beth,Wylie,bwylie@fuentenueva.org,,,,,,,2016-07-20
12626790111708,0603000,11590,Active,Humboldt,Arcata Elementary,Union Street Charter,470 Union Street,470 Union St.,Arcata,95521-6429,CA,470 Union Street,470 Union St.,Arcata,95521-6429,CA,(707) 822-4845,8,www.humboldt.k12.ca.us/unionstreet,2006-08-29,,1,0769,Directly funded,52,Elementary School District,60,Elementary Schools (Public),TRAD,Traditional,ELEM,Elementary,K-5,K-5,N,0,40.861754,-124.07709,Rea,Erickson,rea.unionstreet@gmail.com,,,,,,,2016-07-20
12626790127266,0603000,13192,Active,Humboldt,Arcata Elementary,Redwood Coast Montessori,1611 Peninsula Drive,1611 Peninsula Dr.,Arcata,95521-9658,CA,PO Box 6103,PO Box 6103,Eureka,95502,CA,(707) 832-4194,,www.redwoodcoastmontessori.org,2013-08-27,,1,1496,Directly funded,52,Elementary School District,60,Elementary Schools (Public),TRAD,Traditional,ELEM,Elementary,K-8,K-7,N,0,40.845215,-124.17067,Bryan,Little,director@redwoodmontessori.org,,,,,,,2015-06-18
12626796120562,0603000,10500,Active,Humboldt,Arcata Elementary,Coastal Grove Charter,1897 S Street,1897 S St.,Arcata,95521-5474,CA,PO Box 510,PO Box 510,Arcata,95518,CA,(707) 825-8804,,www.coastalgrove.org,2002-08-27,,1,0466,Directly funded,52,Elementary School District,60,Elementary Schools (Public),TRAD,Traditional,ELEM,Elementary,K-8,K-8,N,0,40.880193,-124.09733,Bettina,Eipper,coastalgrove@coastalgrove.org,,,,,,,2015-06-18
12626870107110,0603030,10800,Active,Humboldt,Northern Humboldt Union High,Six Rivers Charter High,1720 M Street,1720 M St.,Arcata,95521-5741,CA,1720 M Street,1720 M St.,Arcata,95521-5741,CA,(707) 825-2428,,http://https://srchs-nhuhsd-ca.schoolloop.com/,2004-08-30,,1,0642,Locally funded,56,High School District,66,High Schools (Public),TRAD,Traditional,HS,High School,9-12,9-12,N,0,40.875686,-124.08991,Ron,Perry,rperry@nohum.k12.ca.us,,,,,,,2016-08-19
12626870124263,0603030,12960,Active,Humboldt,Northern Humboldt Union High,Laurel Tree Charter,4555 Valley West Boulevard,4555 Valley West Blvd.,Arcata,95521-4683,CA,4555 Valley West Boulevard,4555 Valley West Blvd.,Arcata,95521-4683,CA,(707) 822-5626,,www.laureltreelc.org,2011-08-29,,1,1320,Directly funded,56,High School District,65,K-12 Schools (Public),TRAD,Traditional,ELEMHIGH,Elementary-High Combination,K-12,K-12,N,0,40.899409,-124.08351,Brenda,Sutter,laureltree_lc@yahoo.com,,,,,,,2016-05-10
12626956007686,0604890,00477,Active,Humboldt,Big Lagoon Union Elementary,Big Lagoon Elementary,269 Big Lagoon Park Road,269 Big Lagoon Park Rd.,Trinidad,95570-9622,CA,269 Big Lagoon Park Road,269 Big Lagoon Park Rd.,Trinidad,95570-9622,CA,(707) 677-3688,,www.humboldt.k12.ca.us/blagoon_sd/index.html,1980-07-01,,0,,,52,Elementary School District,61,Elemen Schools In 1 School Dist. (Public),TRAD,Traditional,ELEM,Elementary,K-8,K-8,N,0,41.16318,-124.13065,Jennifer,Glueck,jglueck@nohum.k12.ca.us,,,,,,,2016-07-19
12627296007710,0606000,00539,Active,Humboldt,Bridgeville Elementary,Bridgeville Elementary,38717 Kneeland Road,38717 Kneeland Rd.,Bridgeville,95526-0098,CA,PO Box 98,PO Box 98,Bridgeville,95526-0098,CA,(707) 777-3311,,www.humboldt.k12.ca.us/bridgeville_sd/,1980-07-01,,0,,,52,Elementary School District,61,Elemen Schools In 1 School Dist. (Public),TRAD,Traditional,ELEM,Elementary,K-8,K-8,N,0,40.499626,-123.81802,Beth,Anderson,banderson@humboldt.k12.ca,,,,,,,2015-06-18
12627376007728,0610230,01113,Active,Humboldt,Cuddeback Union Elementary,Cuddeback Elementary,300 Wilder Road,300 Wilder Rd.,Carlotta,95528,CA,PO Box 7,PO Box 7,Carlotta,95528-0007,CA,(707) 768-3372,,www.humboldt.k12.ca.us/cuddeback_sd/,1980-07-01,,0,,,52,Elementary School District,61,Elemen Schools In 1 School Dist. (Public),TRAD,Traditional,ELEM,Elementary,K-8,K-8,N,0,40.536688,-124.04149,Blaine,Sigler,bsigler@humboldt.k12.ca.us,,,,,,,2015-06-18
12628100108688,0614190,10801,Active,Humboldt,Fortuna Union High,Academy of the Redwoods,7351 Tompkins Hill Road,7351 Tompkins Hill Rd.,Eureka,95501-9302,CA,379 12th Streeet,379 12th Streeet,Fortuna,95540,CA,(707) 476-4203,,http://ar.fuhsdistrict.org,2005-08-22,,0,,,56,High School District,63,Alternative Schools of Choice,ALTSOC,Alternative School of Choice,HS,High School,9-12,9-12,N,0,40.698219,-124.19641,Luke,Biesecker,lbiesecker@fuhsdistrict.net,,,,,,,2016-09-06
12628101233352,0614190,01619,Active,Humboldt,Fortuna Union High,East High (Continuation),392 16th Street,392 16th St.,Fortuna,95540-2411,CA,379 12th Street,379 12th St.,Fortuna,95540-2357,CA,(707) 725-4463,,www.easthighfortuna.org,1980-07-01,,0,,,56,High School District,68,Continuation High Schools,CON,Continuation School,HS,High School,10-12,11-12,N,0,40.596056,-124.15027,Jack,Millsap,jmillsap@fuhsdistrict.net,Jack,Millsap,jmillsap@fuhsdistrict.net,,,,2016-09-06
12628101233402,0614190,01620,Active,Humboldt,Fortuna Union High,Fortuna Union High,379 12th Street,379 12th St.,Fortuna,95540-2398,CA,379 12th Street,379 12th St.,Fortuna,95540-2398,CA,(707) 725-4461,3014,www.fortunahigh.org,1905-07-01,,0,,,56,High School District,66,High Schools (Public),TRAD,Traditional,HS,High School,9-12,9-12,N,0,40.59525,-124.1534,Clint,Duey,cduey@fuhsdistrict.net,,,,,,,2016-08-24
12628286007884,0614520,01702,Active,Humboldt,Freshwater Elementary,Freshwater Elementary,75 Greenwood Heights Drive,75 Greenwood Heights Dr.,Eureka,95503-9569,CA,75 Greenwood Heights Drive,75 Greenwood Heights Dr.,Eureka,95503-9569,CA,(707) 442-2969,,www.humboldt.k12.ca.us/freshwater_sd,1980-07-01,,0,,,52,Elementary School District,60,Elementary Schools (Public),TRAD,Traditional,ELEM,Elementary,K-6,K-6,N,0,40.787702,-124.08259,Si,Talty,stalty@humboldt.k12.ca.us,,,,,,,2015-08-12
12628286116289,0614520,07974,Active,Humboldt,Freshwater Elementary,Freshwater Charter Middle,75 Greenwood Heights Drive,75 Greenwood Heights Dr.,Eureka,95503-9569,CA,75 Greenwood Heights Drive,75 Greenwood Heights Dr.,Eureka,95503-9569,CA,(707) 442-2969,,www.humboldt.k12.ca.us/freshwater_sd/,1999-09-07,,1,0173,Locally funded,52,Elementary School District,62,Intermediate/Middle Schools (Public),TRAD,Traditional,INTMIDJR,Intermediate/Middle/Junior High,7-8,7-8,N,0,40.787702,-124.08259,Si,Talty,stalty@humboldt.k12.ca.us,,,,,,,2015-08-06
12628366007892,0614910,01890,Active,Humboldt,Garfield Elementary,Garfield Elementary,2200 Freshwater Road,2200 Freshwater Rd.,Eureka,95503-9562,CA,2200 Freshwater Road,2200 Freshwater Rd.,Eureka,95503-9562,CA,(707) 442-5471,,www.humboldt.k12.ca.us/garfield_sd/,1980-07-01,,0,,,52,Elementary School District,61,Elemen Schools In 1 School Dist. (Public),TRAD,Traditional,ELEM,Elementary,K-6,K-6,N,0,40.756423,-124.03514,Michael,Quinlan,mquinlan@garfieldschool.org,,,,,,,2016-08-29
12628936007959,0618660,02271,Active,Humboldt,Jacoby Creek Elementary,Jacoby Creek,1617 Old Arcata Road,1617 Old Arcata Rd.,Bayside,95524-9301,CA,1617 Old Arcata Road,1617 Old Arcata Rd.,Bayside,95524-9301,CA,(707) 822-4896,,www.humboldt.k12.ca.us/jacobycreekschool,1957-07-01,,0,00D8,Locally funded,52,Elementary School District,61,Elemen Schools In 1 School Dist. (Public),TRAD,Traditional,ELEM,Elementary,K-8,K-8,N,0,40.849481,-124.06875,Melanie,Nannizzi,mnannizzi@jcsk8.org,,,,,,,2016-04-05
12629010118182,0619950,12357,Closed,Humboldt,Klamath-Trinity Joint Unified,River's Edge Community Day,101 Loop Road,101 Loop Rd.,Hoopa,95546-9742,CA,PO Box 1308,PO Box 1308,Hoopa,95546,CA,,,www.ktjusd.k12.ca.us,2008-09-02,2016-06-18,0,,,54,Unified School District,69,District Community Day Schools,COMMDAY,Community Day School,INTMIDJR,Intermediate/Middle/Junior High,K-8,5-8,N,0,41.049484,-123.67742,,,,,,,,,,2016-09-28
12629010118190,0619950,12384,Closed,Humboldt,Klamath-Trinity Joint Unified,Two Rivers Community Day,101 Loop Road,101 Loop Rd.,Hoopa,95546-9742,CA,PO Box 1308,PO Box 1308,Hoopa,65546,CA,,,www.ktjusd.k12.ca.us,2008-09-16,2016-06-18,0,,,54,Unified School District,69,District Community Day Schools,COMMDAY,Community Day School,HS,High School,8-12,9-12,N,0,41.049484,-123.67742,,,,,,,,,,2016-09-28
12629011230028,0619950,02388,Active,Humboldt,Klamath-Trinity Joint Unified,Captain John Continuation High,101 Loop Road,101 Loop Rd.,Hoopa,95546-1308,CA,PO Box 1308,PO Box 1308,Hoopa,95546-1308,CA,(530) 625-5600,4823,www.ktjusd.k12.ca.us,1980-07-01,,0,,,54,Unified School District,68,Continuation High Schools,CON,Continuation School,HS,High School,9-12,10-12,N,0,41.049484,-123.67742,Jennifer,Lane,jlane@ktjusd.k12.ca.us,,,,,,,2015-08-22
12629011234004,0619950,02390,Active,Humboldt,Klamath-Trinity Joint Unified,Hoopa Valley High,365 Loop Road,365 Loop Rd.,Hoopa,95546-9745,CA,PO Box 1308,PO Box 1308,Hoopa,95546-1308,CA,(530) 625-5600,,www.ktjusd.k12.ca.us,1980-07-01,,0,,,54,Unified School District,66,High Schools (Public),TRAD,Traditional,HS,High School,9-12,9-12,N,0,41.049484,-123.67742,Dustin,Rossman,drossman@ktjusd.k12.ca.us,,,,,,,2016-04-08
12629016007967,0619950,02389,Active,Humboldt,Klamath-Trinity Joint Unified,Hoopa Valley Elementary,11500 State Highway 96,11500 State Highway 96,Hoopa,95546-1308,CA,PO Box 1308,PO Box 1308,Hoopa,95546-1308,CA,(530) 625-5600,,www.ktjusd.k12.ca.us,1980-07-01,,0,,,54,Unified School District,60,Elementary Schools (Public),TRAD,Traditional,ELEM,Elementary,K-8,K-8,N,0,41.05033,-123.67602,John,Snell,jsnell@ktjusd.k12.ca.us,Paula,Wyant,pwyant@ktjusd.k12.ca.us,,,,2016-08-22
12629016007975,0619950,02392,Active,Humboldt,Klamath-Trinity Joint Unified,Orleans Elementary,38016 Highway 96,38016 Highway 96,Orleans,95556-0130,CA,PO Box 130,PO Box 130,Orleans,95556-0130,CA,(530) 625-5600,8,www.ktjusd.k12.ca.us,1980-07-01,,0,,,54,Unified School District,60,Elementary Schools (Public),TRAD,Traditional,ELEM,Elementary,K-8,K-8,N,0,41.301489,-123.54234,Jason,Henderson,jhenderson@ktjusd.k12.ca.us,,,,,,,2015-08-18
12629016007983,0619950,02391,Active,Humboldt,Klamath-Trinity Joint Unified,Jack Norton Elementary,Highway 169,Highway 169,Pecwan,95546-1308,CA,PO Box 1308,PO Box 1308,Hoopa,95546-1308,CA,(559) 549-0092,,www.ktjusd.k12.ca.us,1980-07-01,,0,,,54,Unified School District,60,Elementary Schools (Public),TRAD,Traditional,ELEM,Elementary,K-8,K-8,N,0,41.35011,-123.86594,Jason,Henderson,jhenderson@ktjusd.k12.ca.us,,,,,,,2015-08-18
12629016007991,0619950,02393,Active,Humboldt,Klamath-Trinity Joint Unified,Trinity Valley Elementary,730 North Highway 96,730 North Highway 96,Willow Creek,95573-1229,CA,PO Box 1229,PO Box 1229,Willow Creek,95573-1229,CA,(530) 625-5600,,www.ktjusd.k12.ca.us,1980-07-01,,0,,,54,Unified School District,60,Elementary Schools (Public),TRAD,Traditional,ELEM,Elementary,K-8,K-8,N,0,40.959864,-123.64271,Tayshu,Bommelyn,tbommelyn@ktjusd.k12.ca.us,,,,,,,2016-09-29
12629016008007,0619950,02394,Active,Humboldt,Klamath-Trinity Joint Unified,Weitchpec Elementary,444 Upper Weitchpec School Road,444 Upper Weitchpec School Rd.,Hoopa,95546-1308,CA,PO Box 1308,PO Box 1308,Hoopa,95546-1308,CA,(530) 625-5600,4021,www.ktjusd.k12.ca.us,1980-07-01,,0,,,54,Unified School District,60,Elementary Schools (Public),TRAD,Traditional,ELEM,Elementary,K-8,K-7,N,1,41.187816,-123.70019,Jason,Henderson,jhenderson@ktjusd.k12.ca.us,,,,,,,2015-08-19
12629271230150,0622320,08486,Active,Humboldt,Loleta Union Elementary,Pacific View Charter,115 Henderson Street,115 Henderson St.,Eureka,95501-4311,CA,115 Henderson Street,115 Henderson St.,Eureka,95501-4311,CA,(707) 269-9490,,www.humboldt.k12.ca.us/pacificview/,2000-01-03,,1,0277,Directly funded,52,Elementary School District,65,K-12 Schools (Public),TRAD,Traditional,ELEMHIGH,Elementary-High Combination,K-12,K-12,N,0,40.783317,-124.1693,James,Malloy,jmalloy@pacificviewcharter.com,,,,,,,2016-09-28
12629276008023,0622320,02671,Active,Humboldt,Loleta Union Elementary,Loleta Elementary,700 Loleta Drive,700 Loleta Dr.,Loleta,95551-0547,CA,PO Box 547,PO Box 547,Loleta,95551-0547,CA,(707) 733-5705,,www.loletaschool.com,1980-07-01,,0,,,52,Elementary School District,60,Elementary Schools (Public),TRAD,Traditional,ELEM,Elementary,K-8,K-8,N,0,40.642757,-124.21239,John,Sutter,jsutter@humboldt.k12.ca.us,,,,,,,2015-08-10
